Order,Family,Genus,Species,Binomial,Region,Distribution,Distribution Notes,Traits table filled by,Suggested expert,Elton Plant_Others,body_mass,data_source_body_mass,comment_body_mass,gut_type,data_source_gut_type,comments_gut_type,group_size_summer,data_source_group_size_summer,comments_group_size_summer,group_size_winter,data_source_group_size_winter,comment_group_size_winter,Litter_clutch_size,data_source_litter_clutch_size,comment_litter_clutch_size,Population_dynamics,data_source_population_dynamics,comment_population_dynamics,Habitat_type,data_source_habitat_type,comment_habitat_type,Belowground_feeding,data_source_belowground_feeding,comment_below_ground_feeding,Mobility,data_source_mobility,comment_mobility,Human_managed,data_source_human_managed,comment_human_managed,Diet_type,data_source_diet_type,comment_diet_type,diet_item_forb,data_source_diet_item_forb,comment_diet_item_forb,diet_item_graminoid,data_source_diet_item_graminoid,comment_diet_item_graminoid,diet_item_shrub,data_source_diet_item_shrub,comment_diet_item_shrub,diet_item_moss,data_source_diet_item_moss,comment_diet_item_moss,diet_item_lichen,data_source_diet_item_lichen,comment_diet_item_lichen,wintering_strategy,data_source_wintering_strategy,comment_wintering_strategy,Use_of_vegetation,data_source_use_of_vegetation,comment_use_of_vegetation
Galliformes,Phasianidae,Coturnix,japonica,Coturnix japonica,Palaearctic,East,,Jesus Adrian Chimal,,70,94.78,EltonTraits,,hindgut_fermenter,assumed,,solitary,IUCN https://www.iucnredlist.org/species/22678949/95209097#habitat-ecology,,solitary,IUCN https://www.iucnredlist.org/species/22678949/95209097#habitat-ecology,,7,Handbook of the mammals of the world, mean,cyclic_noncyclic,IUCN https://www.iucnredlist.org/species/22678949/95209097#habitat-ecology,,terrestrial, Handbook of the birds of the world,,none,Handbook of the birds of the world,,yes,Handbook of the birds of the world,,,,,facultative_generalist,Handbook of the birds of the world,,1,Handbook of the birds of the world,,3,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,not_present,Handbook of the birds of the world,,ground_vegetation,Handbook of the birds of the world,
Rodentia,Cricetidae,Cricetulus,barabensis,Cricetulus barabensis,Palaearctic,Mongolia,,Jesus Adrian Chimal,,50,22.85,EltonTraits,,hindgut_fermenter,assumed,,solitary,Handbook of the mammals of the world,,solitary,Handbook of the mammals of the world,,7.7,Handbook of the mammals of the world,largest litter on the year,noncyclic,"Rong, X., & Wang, Y. (2009). Detecting Dynamics in Cricetulus Barabensis Populations. In (pp. 309-312).",,terrestrial,Handbook of the mammals of the world,,burrowing,Handbook of the mammals of the world,,no,Handbook of the mammals of the world,,,,,facultative_generalist,Handbook of the mammals of the world,,2,https://www.iucnredlist.org/species/5524/115072992#habitat-ecology,,3,https://www.iucnredlist.org/species/5524/115072992#habitat-ecology,,0,https://www.iucnredlist.org/species/5524/115072992#habitat-ecology,,0,https://www.iucnredlist.org/species/5524/115072992#habitat-ecology,,0,https://www.iucnredlist.org/species/5524/115072992#habitat-ecology,,,Handbook of the mammals of the world,,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Cricetulus,longicaudatus,Cricetulus longicaudatus,Palaearctic,Mongolia,,Jesus Adrian Chimal,,50,22.10,EltonTraits,,hindgut_fermenter,assumed,,solitary,"assumed, common in hamsters",no infromation,solitary,assumed common in hamsters,no information,6.5,Handbook of the mammals of the world,average,noncyclic,,,terrestrial,Handbook of the mammals of the world,,burrowing,Handbook of the mammals of the world,they use burrows,no,Handbook of the mammals of the world,,,,,obligatory_generalist,https://www.iucnredlist.org/species/5526/115073116#habitat-ecology,,2,https://www.iucnredlist.org/species/5526/115073116#habitat-ecology,,3,https://www.iucnredlist.org/species/5526/115073116#habitat-ecology,,1,https://www.iucnredlist.org/species/5526/115073116#habitat-ecology,,0,https://www.iucnredlist.org/species/5526/115073116#habitat-ecology,,0,https://www.iucnredlist.org/species/5526/115073116#habitat-ecology,,hibernating,,not enough info,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Cricetus,cricetus,Cricetus cricetus,Palaearctic,Russia-W,,Jesus Adrian Chimal,,80,510.00,EltonTraits,,hindgut_fermenter,assumed,,solitary,Handbook of the mammals of the world,,solitary,Handbook of the mammals of the world,,9,Handbook of the mammals of the world,average of wild litters not embryo based,cyclic_noncyclic,https://www.iucnredlist.org/species/5529/115073669#population,,terrestrial,Handbook of the mammals of the world,,burrowing,Handbook of the mammals of the world,they use burrows,no,Handbook of the mammals of the world,,,,,obligatory_generalist,Handbook of the mammals of the world,,3,Handbook of the mammals of the world,,3,Handbook of the mammals of the world,,2,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,hibernating,Handbook of the mammals of the world,,ground_vegetation,Handbook of the mammals of the world,
Anseriformes,Anatidae,Cygnus,buccinator,Cygnus buccinator,North America,Western,,Eileen Rees,,70,11071.13,EltonTraits,,undifferentiated,,,large_group,"Mitchell, C.D. 1994. Banko, W.E. 1960.","Proportion of the population holding territories (i.e. family_groups) versus in non-breeding flocks unclear. Classed as large_group as this seems most likely, but I can investigate further.",large_group,,,5,"Olsen, D., Long, B. & Mitchell, C.D. 2015. Geographic variation in Trumpeter Swan Cygnus buccinator clutch size and egg weights. Wildfowl 65: 133–142.",Mean clutch size = 5 eggs; range = 1 - 9 eggs per nest,noncyclic,,,limnic,,,grubbing,"Banko, W.E. 1960. The Trumpeter Swan. Its history, habitats, and populatoin in the United States. University of Nebraska Press, Lincoln and London.","Feeds primarily on grasses/sedges when on tundra and on aquatic vegetation in the water column, but also known to dig for tubers.",yes,,,none,,Reintroduced populations in parts of the United States.,facultative_generalist,"Mitchell, C.D. 1994. Banko, W.E. 1960.",,3,"Mitchell, C.D. 1994. Banko, W.E. 1960.",,3,"Mitchell, C.D. 1994. Banko, W.E. 1960.",,2,"Mitchell, C.D. 1994.",Blueberries (Vaccinium spp.) and Mountain Cranberry (Vaccinium vitis-idaea) berries taken in season.,2,"Mitchell, C.D. 1994.",,0,"Mitchell, C.D. 1994.",,not_present,"Mitchell, C.D. 1994. Trumpeter Swan (Cygnus buccinator). In The Birds of North America, No. 105 (A. Poole & F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists' Union, Washington D.C. ","Note that the restored Tristate sub-population is mainly sedentary, but I've left this as true-migrant because the Tri-state birds breed to the south of the Arctic region. ",ground_vegetation,Handbook of the birds of the world,
Anseriformes,Anatidae,Cygnus,columbianus,Cygnus columbianus,Arctic,,,Eileen Rees,,100,6298.81,"Limpert, R.J. & Earnst, S.L. (1994) WWT unpubl. data for adult birds",mean across subspecies ,undifferentiated,,,large_group,,,large_group,,,3.85,,,noncyclic,,,limnic,,,grubbing,,,yes,,,none,,,facultative_generalist,,,3,,,3,,,2,,,2,,,0,,,not_present,,,ground_vegetation,Handbook of the birds of the world,
Anseriformes,Anatidae,Cygnus,cygnus,Cygnus cygnus,Palaearctic,,,Eileen Rees,,100,9349.99,EltonTraits,,undifferentiated,,,large_group,"Einarsson, O. 1996. Also Rees, E.C., Black, J.M., Spray, C.J. & Thorisson, S. 1991. Comparative study of the breeding success of Whooper Swans Cygnus cygnus nesting in upland and lowland regions of Iceland.  Ibis, 133: 365-373.",The proportion of the population not breeding exceeds that of breeding pairs however; hence classed here as large_group.,large_group,,,4.47,"Einarsson, O. 1996. Breeding biology of the Whooper Swan and factors affecting its breeding success, with notes on its social dynamics and life cycle in the wintering range. PhD thesis, University of Bristol, UK.","Mean clutch size = 4.47 eggs; range = 2 - 7 eggs per nest. If preferred, mean brood size = 3.31 in August; lower post-migration in wintering flocks",noncyclic,,,limnic,,,grubbing,Expert (1),Digs for tubers in winter; probably also does so occasionally in summer but not widely recorded,yes,,,none,,,facultative_generalist,"Einarsson 1996; Brazil, M.A. 1981. The Whooper Swan. T. & A.D. Poyser, London. ",,3,Einarsson 1996; Brazil 1981,,3,Einarsson 1996; Brazil 1981,,1,Einarsson 1996,Palatable shrubs (i.e. with berries) not recorded in Iceland study sites but may occur elsewhere.,1,Einarsson 1996,"Not found in faecal analyses, but common in breeding areas so likely ingested.",0,Einarsson 1996,,not_present,"Hall C., Crowe, O., McElwaine, G., Einarsson, Ó., Calbrade, N. & Rees. E. 2016. Population size and breeding success of the Icelandic Whooper Swan Cygnus cygnus: results of the 2015 international census. Wildfowl 66: 75– 97","Majority (>90%) of C. cygnus migrate, but c. 7% of Icelandic-breeding population remains in Iceland over winter",ground_vegetation,Handbook of the birds of the world,
Anseriformes,Anatidae,Cygnus,olor,Cygnus olor,Palaearctic,,,Jesus Adrian Chimal,,80,10682.04,EltonTraits,,undifferentiated,assumed,,family_group,,,family_group,,pairs,6,Handbook of the birds of the world,mean from book,noncyclic,,,limnic,Handbook of the birds of the world,,grubbing,Handbook of the birds of the world,,yes,Handbook of the birds of the world,,,,,facultative_generalist,Handbook of the birds of the world,,1,Handbook of the birds of the world,,2,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,not_present,Handbook of the birds of the world,"some populations are sedentary but ""truly wild populations mainly migratory""",ground_vegetation,Handbook of the birds of the world,
Artiodactyla,Cervidae,Dama,dama,Dama dama,Palaearctic,Sweden,,Jesus Adrian Chimal,,100,52375.00,EltonTraits,,ruminant,,,large_group,The Mammals of the World 2011,,large_group,The Mammals of the World 2011,up to 200 ind.,1,PanTHERIA,,cyclic_noncyclic,"M. Smagol, V., & L. Yarish, V. (2017). Population Dynamics of the Roe Deer, Capreolus Capreolus, and the Red Deer, Cervus Elaphus (Artiodactyla, Cervidae), in the Mountain Crimea (Vol. 51).",,terrestrial,The Mammals of the World 2011,,none,The Mammals of the World 2011,,no,The Mammals of the World 2011,Usually 2km^2 range,none,,,obligatory_generalist,The Mammals of the World 2011,,3,The Mammals of the World 2011,,3,The Mammals of the World 2011,,2,The Mammals of the World 2011,,0,The Mammals of the World 2011,,0,The Mammals of the World 2011,,active_above_snow,The Mammals of the World 2011,,ground_vegetation,The Mammals of the World 2011,
Galliformes,Phasianidae,Dendragapus,fuliginosus,Dendragapus fuliginosus,North America,Western,,Jesus Adrian Chimal,,80,1047.31,EltonTraits,,hindgut_fermenter,assumed,,solitary,Handbook of the birds of the world,,solitary,Handbook of the birds of the world,,8,Handbook of the birds of the world,,cyclic,IUCN https://www.iucnredlist.org/species/22734695/95095286#habitat-ecology,,terrestrial,Handbook of the birds of the world,,none,Handbook of the birds of the world,,no,Handbook of the birds of the world,,,,,facultative_specialist,Handbook of the birds of the world,,2,Handbook of the birds of the world,,1,Handbook of the birds of the world,,3,Handbook of the birds of the world,Placed 3 on shrubs but apparently they mainly eat pine tree needles in the winter,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,active_above_snow,Handbook of the birds of the world,,canopy,Handbook of the birds of the world,"ground on summer, canopy on winter."
Galliformes,Phasianidae,Dendragapus,obscurus,Dendragapus obscurus,North America,Western,,Jesus Adrian Chimal,,80,1047.31,EltonTraits,,hindgut_fermenter,assumed,,small_group,Handbook of the birds of the world,,large_group,Handbook of the birds of the world,,8,Handbook of the birds of the world,,noncyclic,Cornell Lab of Ornithology https://doi.org/10.2173/bna.dusgro.02.1,,terrestrial,Handbook of the birds of the world,,none,Handbook of the birds of the world,,no,Handbook of the birds of the world,,,,,facultative_specialist,Handbook of the birds of the world,,2,Handbook of the birds of the world,,1,Handbook of the birds of the world,,3,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,active_above_snow,Handbook of the birds of the world,,canopy,Handbook of the birds of the world,
Rodentia,Cricetidae,Dicrostonyx,groenlandicus,Dicrostonyx groenlandicus,North America,,,Eeva Soininen,,80,54.40,EltonTraits,,hindgut_fermenter,expert (3),,solitary,Brooks 1993,,solitary,expert (2),,3.78,PanTHERIA,,cyclic,"Pitelka & Batzli 1993, Gruyer et al 2008",,terrestrial,expert (3),,burrowing,Brooks 1993,,no,expert (3),,none,expert (3),,obligatory_generalist,Batzli 1993 and references therein,,3,"Batzli 1993 and references therein, Soininen et al 2015",,2,"Batzli 1993 and references therein, Soininen et al 2015",,3,"Batzli 1993 and references therein, Soininen et al 2015",,1,"Batzli 1993 and references therein, Soininen et al 2015",,1,"Batzli 1993 and references therein; Baltensperger, A. P., Huettmann, F., Hagelin, J. C., & Welker, J. M. (2015). Quantifying trophic niche spaces of small mammals using stable isotopes (δ15N and δ13C) at two scales across Alaska. Canadian Journal of Zoology, 93(7), 579-588.",,active_below_snow,expert (3),,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,hudsonius,Dicrostonyx hudsonius,North America,East,,Nicolas Lecomte,,80,57.00,EltonTraits,,hindgut_fermenter,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,solitary,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,solitary,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,3.49,PanTHERIA,median,cyclic,"Rausch, R.L. 1977. On the zoogeography of some Beringian mammals. In: V. E. Sokolov (ed.), Advances in modern theriology, pp. 162-175. Acadamy of Science, Moscow, Russia.",not much data,terrestrial,"Gabbutt, P. D. (1961). The distribution of some small mammals and their associated fleas from central Labrador. Ecology, 42(3), 518-525.",lack of data,burrowing,"Gabbutt, P. D. (1961). The distribution of some small mammals and their associated fleas from central Labrador. Ecology, 42(3), 518-525.",,no,"Fulton, T. L., Norris, R. W., Graham, R. W., Semken, H. A., & Shapiro, B. (2013). Ancient DNA supports southern survival of Richardson's collared lemming (Dicrostonyx richardsoni) during the last glacial maximum. Molecular ecology, 22(9), 2540-2548.",no lemming large movement in Canada,none,expert (1),,obligatory_generalist,expert(1),,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,1,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,0,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,active_below_snow,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,nelsoni,Dicrostonyx nelsoni,North America,Western,,Nicolas Lecomte,,80,60.85,EltonTraits,,hindgut_fermenter,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,solitary,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,solitary,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,3.5,Enclycopedia of Life,,cyclic,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,terrestrial,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,burrowing,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,no,,no lemming large movement in Canada,none,expert (1),,obligatory_generalist,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,3,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,1,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,0,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,active_below_snow,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,nunatakensis,Dicrostonyx nunatakensis,North America,Western,,Nicolas Lecomte,,80,60.82,EltonTraits,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",hindgut_fermenter,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,solitary,Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.,assumed,solitary,Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.,assumed,3,,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,cyclic,,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,terrestrial,Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.,,burrowing,Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.,,no,Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.,no lemming large movement in Canada,none,,present only in a territorial park,obligatory_generalist,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,2,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,3,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,1,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,0,encyclopedie of life; expert,assumed because very similar in morphology than D. Groenlandicus and very closely related to D. Groenlandicus and D. Richardsoni.,active_below_snow,Slough BG and Jung TS. 2007. Diversity and distribution of the mammals of the Yukon Territory: a review. Canadian Field-Naturalist 121: 119–127.,range restricted to a nunatuak,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,richardsoni,Dicrostonyx richardsoni,North America,Central,,Nicolas Lecomte,,80,55.00,EltonTraits,,hindgut_fermenter,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,small_group,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,solitary,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,3.5,"Enclycopedia of Life. ... Gaida, A.M., and Brooks, R.J. 1993. Paternal care in collared lemmings Dicrostonyx richardsoni): artifact or adaptation? Arctic, 46: 312–315.",,cyclic,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,terrestrial,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,burrowing,"Gaida, A.M., and Brooks, R.J. 1993. Paternal care in collared lemmings Dicrostonyx richardsoni): artifact or adaptation? Arctic, 46: 312–315.",,no,expert,no lemming large movement in Canada,none,expert (1),,obligatory_generalist,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,3,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,3,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,3,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,0,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,0,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,active_below_snow,"Naughton, D. 2012 The Natural History of Canadian Mammal. University of Toronto Press",,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,torquatus,Dicrostonyx torquatus,Palaearctic,Russia,,Natasha Sokolova,,80,85.00,EltonTraits,,hindgut_fermenter,,,solitary,"Dunaeva, 1948",,solitary,"Dunaeva, 1948",,3.85,PanTHERIA,,cyclic,"Danilov, 2000",,terrestrial,"Dunaeva, 1948; Danilov, 2000; Sokolova, 2004",,burrowing,"Dunaeva, 1948; Danilov, 2000",,no,expert (3),,none,,,obligatory_generalist,"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982",,2,"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982",,2,"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982",,3,"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982",,0,"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982",,0,"Dunaeva, Kucheruk, 1941a; Cherniavsky,Tkachev, 1982",,active_below_snow,"Dunaeva, 1948",,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,unalascensis,Dicrostonyx unalascensis,Palaearctic,Russia - very narrow,,Eeva Soininen,,80,60.84,EltonTraits,,hindgut_fermenter,assumed because closesly related to D. Groenlandicus,little data available,solitary,assumed because closesly related to D. Groenlandicus ,little data available,solitary,assumed because closesly related to D. Groenlandicus,little data available,2.79,PanTHERIA,,cyclic,"IUCN redlist (http://www.iucnredlist.org/details/summary/39974/0; citation:   Linzey, A.V. & NatureServe (Garibaldi, A. & Hammerson, G.). 2008. Dicrostonyx unalascensis. The IUCN Red List of Threatened Species 2008: e.T39974A10281541. http://dx.doi.org/10.2305/IUCN.UK.2008.RLTS.T39974A10281541.en. Downloaded on 21 September 2017.), assumed because closesly related to D. Groenlandicus",little data available,terrestrial,assumed because closesly related to D. Groenlandicus ,little data available,burrowing,assumed because closesly related to D. Groenlandicus,little data available,no,expert (3),present only on 2 islands,none,assumed because closesly related to D. Groenlandicus,little data available,obligatory_generalist,assumed because closesly related to D. Groenlandicus ,little data available,3,assumed because closesly related to D. Groenlandicus,little data available,2,assumed because closesly related to D. Groenlandicus ,little data available,3,assumed because closesly related to D. Groenlandicus ,little data available,1,assumed because closesly related to D. Groenlandicus ,little data available,0,assumed because closesly related to D. Groenlandicus ,little data available,active_below_snow,assumed because closesly related to D. Groenlandicus ,little data available,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Dicrostonyx,vinogradovi,Dicrostonyx vinogradovi,Palaearctic,Russia - very narrow,,Dorothee Ehrich,,80,60.78,EltonTraits,,hindgut_fermenter,,,solitary,"Mironov, 2003",,solitary,,,6.15,Chernyavskiy 2002,"Reported for the different phases of the cycle: 5.8 in low phase, 6.0 in decrease phase and 6.4 in peak and increase. Here I took the mean of it",cyclic,Menyushina et al. 2012,,terrestrial,"Mironov, 2003",,burrowing,"Mironov, 2003",,no,"Mironov, 2003","for female 800-900 m2, for male 3000-4000 m2",none,,,obligatory_generalist,Kiriushenko and Kiriushenko 1979,originally with a question mark,2,Kiriushenko and Kiriushenko 1979,,2,Kiriushenko and Kiriushenko 1979,,3,Kiriushenko and Kiriushenko 1979,,0,Kiriushenko and Kiriushenko 1979,,0,Kiriushenko and Kiriushenko 1979. Chernyavskiy et al. 1981,,active_below_snow,Chernyavskiy 2002,,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Ellobius,talpinus,Ellobius talpinus,Palaearctic,Russia,,Jesus Adrian Chimal,,100,40.00,EltonTraits,,hindgut_fermenter,assumed,,family_group,Handbook of the mammals of the world,,family_group,Handbook of the mammals of the world,,4.9,Handbook of the mammals of the world,highest average,cyclic,"Evdokimov, N. G. (1997). The dynamics of population structure in the northern mole vole (Ellobius talpinus Pall.) (Vol. 28).",,terrestrial,Handbook of the mammals of the world,,burrowing,Handbook of the mammals of the world,,no,Handbook of the mammals of the world,,,,,obligatory_generalist,Handbook of the mammals of the world,"mostly eats tubers and othere ""easy""",3,Handbook of the mammals of the world,,2,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,active_above_snow,Handbook of the mammals of the world,IUCN as well states that hibernation is in question,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Erethizontidae,Erethizon,dorsatum,Erethizon dorsatum,North America,,,Domnique Berteaux,,70,7085.33,EltonTraits,,hindgut_fermenter,,,solitary,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Page 172.",,solitary,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Page 172.",,1,PanTHERIA,,cyclic_noncyclic,"Klvana, I., D. Berteaux, and B. Cazelles. 2004. Porcupine feeding scars and climatic data show ecosystem effects of the solar cycle. American Naturalist 164:283–297.",,terrestrial,,,none,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Page 172.",,no,"Morin, P., D. Berteaux, and I. Klvana. 2005. Hierarchical habitat selection by North American porcupines in southern boreal forest. Canadian Journal of Zoology 83:1333–1342.
",,none,,,facultative_specialist,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.",I am very confident about this.,1,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.",,1,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.",,3,"Payette, S. 1987. Recent porcupine expansion at tree line: a dendroecological analysis. Canadian Journal of Zoology 65:551–557. AND Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.
",They also eat much tree bark at the tree line.,0,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.",,0,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapters 4, 6, and 8, and references therein.",,active_above_snow,"Roze, U. The North American porcupine, 2nd Edition. 2009. Cornell University Press. Chapter 7.",,ground_vegetation,Handbook of the mammals of the world,
Galliformes,Phasianidae,Falcipennis,canadensis,Falcipennis canadensis,North America,,,Jesus Adrian Chimal,Pierre Blanchette Quebec Ministry of Forest MFFP,90,473.65,EltonTraits,Found as: Dendragapus canadensis,hindgut_fermenter,assumed,,solitary,Handbook of the birds of the world,,solitary,Handbook of the birds of the world,,6,Handbook of the birds of the world,,noncyclic,"Gregg_et al., 2004 USDA",,terrestrial,Handbook of the birds of the world,,none,hHandbook of the birds of the world,,no,Handbook of the birds of the world,,,,,facultative_specialist,Handbook of the birds of the world,,2,hHandbook of the birds of the world,,1,Handbook of the birds of the world,,3,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,active_above_snow,Handbook of the birds of the world,,ground_vegetation,Handbook of the birds of the world,
Galliformes,Phasianidae,Falcipennis,falcipennis,Falcipennis falcipennis,Palaearctic,Russia-East,,Jesus Adrian Chimal,,80,685.61,EltonTraits,Found as: Dendragapus falcipennis,hindgut_fermenter,assumed,,solitary,Handbook of the birds of the world,,large_group,Handbook of the birds of the world,,5,Cornell lab of ornithology (https://www.allaboutbirds.org/guide/Spruce_Grouse/lifehistory),,noncyclic,https://www.iucnredlist.org/species/22679446/112117355#population,,terrestrial,Handbook of the birds of the world,,none,Handbook of the birds of the world,,no,Handbook of the birds of the world,,,,,facultative_specialist,Handbook of the birds of the world,,0,Handbook of the birds of the world,,0,Handbook of the birds of the world,,3,Handbook of the birds of the world,,0,Handbook of the birds of the world,,1,Handbook of the birds of the world,,active_above_snow,Handbook of the birds of the world,,canopy,Handbook of the birds of the world,
