Order,Family,Genus,Species,Binomial,Region,Distribution,Distribution Notes,Traits table filled by,Suggested expert,Elton Plant_Others,body_mass,data_source_body_mass,comment_body_mass,gut_type,data_source_gut_type,comments_gut_type,group_size_summer,data_source_group_size_summer,comments_group_size_summer,group_size_winter,data_source_group_size_winter,comment_group_size_winter,Litter_clutch_size,data_source_litter_clutch_size,comment_litter_clutch_size,Population_dynamics,data_source_population_dynamics,comment_population_dynamics,Habitat_type,data_source_habitat_type,comment_habitat_type,Belowground_feeding,data_source_belowground_feeding,comment_below_ground_feeding,Mobility,data_source_mobility,comment_mobility,Human_managed,data_source_human_managed,comment_human_managed,Diet_type,data_source_diet_type,comment_diet_type,diet_item_forb,data_source_diet_item_forb,comment_diet_item_forb,diet_item_graminoid,data_source_diet_item_graminoid,comment_diet_item_graminoid,diet_item_shrub,data_source_diet_item_shrub,comment_diet_item_shrub,diet_item_moss,data_source_diet_item_moss,comment_diet_item_moss,diet_item_lichen,data_source_diet_item_lichen,comment_diet_item_lichen,wintering_strategy,data_source_wintering_strategy,comment_wintering_strategy,Use_of_vegetation,data_source_use_of_vegetation,comment_use_of_vegetation
Anseriformes,Anatidae,Aix,galericulata,Aix galericulata,Palaearctic,"Far East Russia, Japan",,Jesus Adrian Chimal,,30,567.04,EltonTraits,,undifferentiated,assumed,,small_groups,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,large_group,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,10.5,Handbook of the birds of the world,mean from the book,noncyclic,,,limnic ,Handbook of the birds of the world,,none,Handbook of the birds of the world,,yes,Handbook of the birds of the world,,,,,facultative_generalist,Handbook of the birds of the world,,0,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,2,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,1,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,0,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,0,"Madge, S., & Burn, H. (1988). Wildfowl : an identification guide to the ducks, geese and swans of the world. London: Christopher Helm.",,not_present,Handbook of the birds of the world,,ground_vegetation,Handbook of the birds of the world,
Anseriformes,Anatidae,Aix,sponsa,Aix sponsa,North America,,,Jesus Adrian Chimal,,50,657.59,EltonTraits,,undifferentiated,assumed,,small_groups,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,large_group,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,12,Handbook of the birds of the world,mean from the book,noncyclic,,,limnic ,Handbook of the birds of the world,,none,Handbook of the birds of the world,,yes,Handbook of the birds of the world,,,,,facultative_generalist,Handbook of the birds of the world,,1,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,2,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,1,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,0,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,0,"Robbins, C. S. (1989). The Birder's Handbook: A Field Guide to the Natural History of North American Birds. Including All Species That Regularly Breed North of Mexico (Book Review). In (Vol. 64, pp. 211-211).",,not_present,Handbook of the birds of the world,,ground_vegetation,Handbook of the birds of the world,
Artiodactyla,Cervidae,Alces,alces,Alces alces,Palaearctic,Western,,James Speed,,100,356998.16,EltonTraits,,ruminant,,,solitary,,,solitary,,,1.25,PanTHERIA,,cyclic_noncyclic,Peterson et al. 1998,,terrestrial,,,none,,,yes,http://www.iucnredlist.org/details/56003281/0,,none,,,facultative_specialist,Shipley et al. 2010; Parikh et al. 2016,"Im a bit uncertain here - they are strict browsers, but quite general within that…",2,"Shipley, Lisa. ""Fifty years of food and foraging in moose: lessons in ecology from a model herbivore."" Alces: A Journal Devoted to the Biology and Management of Moose 46 (2010): 1-13.",,1,"Shipley, Lisa. ""Fifty years of food and foraging in moose: lessons in ecology from a model herbivore."" Alces: A Journal Devoted to the Biology and Management of Moose 46 (2010): 1-13.",,3,"Shipley, Lisa. ""Fifty years of food and foraging in moose: lessons in ecology from a model herbivore."" Alces: A Journal Devoted to the Biology and Management of Moose 46 (2010): 1-13.",,0,"Shipley, Lisa. ""Fifty years of food and foraging in moose: lessons in ecology from a model herbivore."" Alces: A Journal Devoted to the Biology and Management of Moose 46 (2010): 1-13.",,0,"Shipley, Lisa. ""Fifty years of food and foraging in moose: lessons in ecology from a model herbivore."" Alces: A Journal Devoted to the Biology and Management of Moose 46 (2010): 1-13.",,active_above_snow,,,understory,The Mammals of the World 2011,
Galliformes,Phasianidae,Alectoris,chukar,Alectoris chukar,Palaearctic,"Central Russia, Mongolia",,Jesus Adrian Chimal,,70,502.10,EltonTraits,,hindgut_fermenter,assumed,,solitary,Handbook of the birds of the world,,small_group,Handbook of the birds of the world,,10.5,Handbook of the birds of the world,mean,noncyclic,Handbook of the birds of the world,,terrestrial,Handbook of the birds of the world,,none,Handbook of the birds of the world,,no,Handbook of the birds of the world,,,,,facultative_generalist,Handbook of the birds of the world,,1,"Watson, G. E. (1962).",,3,"Watson, G. E. (1962).",,1,"Watson, G. E. (1962).",,0,"Watson, G. E. (1962).",,0,"Watson, G. E. (1962).",,active_above_snow,Handbook of the birds of the world,,ground_vegetation,Handbook of the birds of the world,
Rodentia,Dipodidae,Allactaga,major,Allactaga major,Palaearctic,Russia - west,,Jesus Adrian Chimal,,30,350.00,EltonTraits,,hindgut_fermenter,assumed,,solitary,Handbook of the mammals of the world,,solitary,Handbook of the mammals of the world,,5.9,Handbook of the mammals of the world,highest average,noncyclic,assumed due to A. sibirica,,terrestrial,Handbook of the mammals of the world,,burrowing,Handbook of the mammals of the world,,no,Handbook of the mammals of the world,,,,,obligatory_generalist,Handbook of the mammals of the world,,2,https://www.iucnredlist.org/species/857/115052919#habitat-ecology,,3,https://www.iucnredlist.org/species/857/115052919#habitat-ecology,,1,https://www.iucnredlist.org/species/857/115052919#habitat-ecology,,0,https://www.iucnredlist.org/species/857/115052919#habitat-ecology,,0,https://www.iucnredlist.org/species/857/115052919#habitat-ecology,,hibernation,Handbook of the mammals of the world,,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Zapodidae,Allactaga,sibirica,Allactaga sibirica,Palaearctic,,,Jesus Adrian Chimal & James Speed,,30,97.50,EltonTraits,,hindgut_fermenter,assumed,,solitary,https://www.iucnredlist.org/species/859/115053235,,solitary,https://www.iucnredlist.org/species/859/115053235,,3.5,https://www.iucnredlist.org/species/859/115053235,2-5,noncyclic,https://www.iucnredlist.org/species/859/115053235,,terrestrial,,,burrowing,https://www.iucnredlist.org/species/859/115053235,,no,,,none,,,facultative_specialist,https://www.iucnredlist.org/species/859/115053235,,2,https://www.iucnredlist.org/species/859/115053235,,1,https://www.iucnredlist.org/species/859/115053235,,1,https://www.iucnredlist.org/species/859/115053235,,0,https://www.iucnredlist.org/species/859/115053235,,0,https://www.iucnredlist.org/species/859/115053235,,hibernation,https://www.iucnredlist.org/species/859/115053235,,ground_vegetation,,
Rodentia,Cricetidae,Alticola,lemminus,Alticola lemminus,Palaearctic,Russia-E,,Natasha Sokolova,,100,33.56,EltonTraits,,hindgut_fermenter,,,solitary,,,solitary,,,6.17,assumed based average of those species of the genus that are present in PanTHERIA,,noncyclic,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.","""population density is usually low""",terrestrial,,,burrowing,expert (1),assumed,no,expert (3),,none,,,facultative_generalist,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.",,1,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.",,1,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.",,1,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.",,2,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.",,2,"Cassola, F. 2016. Alticola lemminus. (errata version published in 2017) The IUCN Red List of Threatened Species 2016: e.T951A115054300. http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T951A22342887.en. Downloaded on 22 September 2017.",,active_below_snow,Handbook of the mammals of the world,,ground_vegetation,Handbook of the mammals of the world,
Rodentia,Cricetidae,Alticola,macrotis,Alticola macrotis,Palaearctic,Russia - S,NO DATA IN HANDBOOK,Jesus Adrian Chimal,,100,36.00,EltonTraits,,hindgut_fermenter,assumed,,solitary,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,solitary,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,6.17,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,cyclic,"Getz, L. L., Oli, M. K., Hofmann, J. E., & McGuire, B. (2006). Vole Population Fluctuations: Factors that Initiate and Determine Intervals between them in Microtus pennsylvanicus. Journal of Mammalogy, 87(5), 841-847. doi:10.1644/05-mamm-a-292r1.1",assumed from generic vole behaviour,terrestrial,,,burrowing,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,no,size,,,,,facultative_generalist,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,1,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,1,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,1,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,2,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,2,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,active_below_snow,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,ground_vegetation,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",
Rodentia,Cricetidae,Alticola,olchonensis,Alticola olchonensis,Palaearctic,Russia - S (v narrow),NO DATA IN HANDBOOK,Jesus Adrian Chimal,,100,36.96,EltonTraits,,hindgut_fermenter,assumed,,solitary,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",No information,solitary,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",no information,6.17,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,cyclic,"Getz, L. L., Oli, M. K., Hofmann, J. E., & McGuire, B. (2006). Vole Population Fluctuations: Factors that Initiate and Determine Intervals between them in Microtus pennsylvanicus. Journal of Mammalogy, 87(5), 841-847. doi:10.1644/05-mamm-a-292r1.1",assumed from generic vole behaviour,terrestrial,,,burrowing,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,no,size,,,,,facultative_generalist,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,1,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,1,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,1,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,2,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,2,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,active_below_snow,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",,ground_vegetation,"extrapolated from alticola lemminus, due to close phylogeny, ismilarity of size and geographic range",
Rodentia,Cricetidae,Alticola,semicanus,Alticola semicanus,Palaearctic,Mongolia,,Jesus Adrian Chimal,,100,33.39,EltonTraits,,hingut_fermenter,assumed,,solitary,assumed,,solitary,assumed,,6.5,Handbook of the mammals of the world,average,cyclic,"Getz, L. L., Oli, M. K., Hofmann, J. E., & McGuire, B. (2006). Vole Population Fluctuations: Factors that Initiate and Determine Intervals between them in Microtus pennsylvanicus. Journal of Mammalogy, 87(5), 841-847. doi:10.1644/05-mamm-a-292r1.1",assumed from generic vole behaviour,terrestrial,Handbook of the mammals of the world,,none,Handbook of the mammals of the world,,no,Handbook of the mammals of the world,,,,,facultative_generalist,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,3,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,0,Handbook of the mammals of the world,,active_below_snow,Handbook of the mammals of the world,,ground_vegetation,Handbook of the mammals of the world,
