"","ID","DistanceBiomeBoundary","ShrubCover","treeCover","PC1","PC2","Body.Mass","Graminoids_mean","Shrubs_mean","Forbs_mean","Bryophytes_mean","Lichens_mean","Litter.Clutch.size","Graminoid_sum","Forbs_sum","Shrubs_sum","Moss_sum","Lichens_sum","Body.Mass_sd","Graminoids_sd","Shrubs_sd","Forbs_sd","Bryophytes_sd","Lichens_sd","Litter.Clutch.size_sd","PC1_sd","PC2_sd","FDiv","FRic","FEve","FDis","RaoQ","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","NPP","Ecoregion","Realm","SpeciesRichness","PhylogeneticDiversity","PhylogeneticMeanNearestTonDistance","x","y","FDiv.y","FRic.y","FEve.y","FDis.y","RaoQ.y","Elton.Plant_Others","body_mass","gut_type_hindgut_fermenter","gut_type_ruminant","gut_type_undifferentiated","group_size_summer_group_size_summer_family_group","group_size_summer_group_size_summer_large_group","group_size_summer_group_size_summer_small_group","group_size_summer_group_size_summer_solitary","group_size_winter_group_size_winter_family_group","group_size_winter_group_size_winter_large_group","group_size_winter_group_size_winter_small_group","group_size_winter_group_size_winter_solitary","Litter_clutch_size","Population_dynamics_cyclic","Population_dynamics_cyclic_noncyclic","Population_dynamics_noncyclic","Habitat_type_limnic","Habitat_type_terrestrial","Belowground_feeding_Belowground_feeding_burrowing","Belowground_feeding_Belowground_feeding_grubbing","Belowground_feeding_Belowground_feeding_none","Mobility_immobile","Mobility_mobile","Diet_type_facultative_generalist","Diet_type_facultative_specialist","Diet_type_obligatory_generalist","Diet_type_obligatory_specialist","diet_item_forb","diet_item_graminoid","diet_item_shrub","diet_item_moss","diet_item_lichen","wintering_strategy_active_above_snow","wintering_strategy_active_aboveground","wintering_strategy_active_below_snow","wintering_strategy_active_belowground","wintering_strategy_hibernating","wintering_strategy_not_present","Use_of_vegetation_canopy","Use_of_vegetation_ground_vegetation","Use_of_vegetation_understory","DistanceBiomeBoundary_km","TreeShrubCover","Biome"
"770",770,-424264.0625,24.4522666931152,30.9100379943848,-1.71093286324684,-0.318993263520371,13398.4746666667,3.46666666666667,2.33333333333333,2.8,1.53333333333333,1.2,6.87266666666667,4.66600621600622,3.68589743589744,3.0042735042735,2.05027195027195,1.59355089355089,46299.9518997484,0.743223352957207,1.17513930278601,1.01418510567422,0.639940473422184,0.560611910581388,2.27348526234397,2.55308020129196,1.04124628991522,0.855376779047264,0.145569487991466,0.98800120359376,0.283726160221509,0.0853946911010549,-6.16396551973983,57,24,5972.61544219856,107.387026869411,-125.81706745409,233.2040943235,61.6182451304118,-1.38175486958824,7.38360344802602,-80.5858491930886,1185.58646433048,141.768923087297,59.2042356717979,23,386.061997322838,228.973033992197,356.16398210114,250.898173151396,265.702684335889,356,8,15,0.189567833053066,0.260687483922991,1765471.73058744,3940866.37282567,0.855376779047264,0.145569487991466,0.98800120359376,0.283726160221509,0.0853946911010549,67.1428571428571,1461.19285714286,0.428571428571429,0,0.571428571428571,0.0714285714285714,0.142857142857143,0.428571428571429,0.357142857142857,0.142857142857143,0.642857142857143,0,0.214285714285714,7.20357142857143,0.142857142857143,0.142857142857143,0.714285714285714,0.571428571428571,0.428571428571429,0.214285714285714,0.214285714285714,0.571428571428571,0.357142857142857,0.642857142857143,0.785714285714286,0,0.214285714285714,0,2.71428571428571,3.5,2.42857142857143,1.57142857142857,1.21428571428571,0.214285714285714,0,0.214285714285714,0,0,0.571428571428571,0,1,0,-424.2640625,55.3623046875,"Boreal"
"868",868,-223606.796875,16.0293827056885,20.7719020843506,-1.06156363712671,0.0829017405362245,12905.657826087,3.30434782608696,2.43478260869565,2.91304347826087,1.65217391304348,1.34782608695652,6.08478260869565,6.61838716838717,5.72918747918748,4.73046398046398,3.32191697191697,2.6000444000444,40620.3904243104,0.926124996899135,1.19947287500202,0.949308048396825,0.77510677576318,0.77510677576318,2.47389253379663,2.51981415466817,1.44759779121552,0.814391830584435,0.214069734935664,0.990383806845099,0.305062595987487,0.0951383281469274,-19.6508949603467,54,20.1032195303657,7079.62818526297,111.349105039653,-147.006925310655,258.356030350309,53.3491050396533,-5.21336437138673,7.33491050396533,-107.110144841021,1031.05151667861,140.674686334581,52.777905864947,29.3343110585943,361.428800825294,171.157995219,299.365295372994,227.31572280849,129.496114834126,356,8,23,0.255712169561906,0.211701414918098,1565471.73058744,3840866.37282567,0.814391830584435,0.214069734935664,0.990383806845099,0.305062595987487,0.0951383281469274,71.3636363636364,5286.805,0.545454545454545,0.0454545454545455,0.409090909090909,0,0.272727272727273,0.272727272727273,0.454545454545455,0.136363636363636,0.545454545454545,0,0.318181818181818,6.25954545454545,0.181818181818182,0.136363636363636,0.681818181818182,0.409090909090909,0.590909090909091,0.272727272727273,0.181818181818182,0.545454545454545,0.454545454545455,0.545454545454545,0.681818181818182,0.0909090909090909,0.181818181818182,0.0454545454545455,2.86363636363636,3.31818181818182,2.5,1.68181818181818,1.36363636363636,0.227272727272727,0.0454545454545455,0.227272727272727,0,0,0.5,0.0454545454545455,0.954545454545455,0,-223.606796875,36.8012847900391,"Boreal"
"869",869,-282842.71875,18.731954574585,17.6354274749756,-1.21157854194679,0.140929659105212,13488.415,3.31818181818182,2.36363636363636,2.90909090909091,1.68181818181818,1.36363636363636,6.18636363636364,6.36838716838717,5.47918747918748,4.39713064713065,3.23858363858364,2.51671106671107,41477.7702961242,0.945483682534709,1.176979772673,0.971454035826165,0.779887881829887,0.789542033951723,2.48252856014751,2.47175406741424,1.4540263135462,0.836974003665361,0.212681654643676,0.989945389525796,0.301301316644028,0.0934280477527957,8.83411779688697,61,22,7201.31056805907,136.834117796887,-131.811703234608,268.645821031495,85.119038488167,23.096623925888,10.1834117796887,-82,813.822445338793,116,40,35.811703234608,309,129.188296765392,257.28492069128,156.995048913616,366.719881033977,356,8,22,0.246287838388768,0.207640202166773,1665471.73058744,3840866.37282567,0.836974003665361,0.212681654643676,0.989945389525796,0.301301316644028,0.0934280477527957,70.9523809523809,5534.51,0.523809523809524,0.0476190476190476,0.428571428571429,0,0.285714285714286,0.285714285714286,0.428571428571429,0.142857142857143,0.571428571428571,0,0.285714285714286,6.37428571428571,0.142857142857143,0.142857142857143,0.714285714285714,0.428571428571429,0.571428571428571,0.238095238095238,0.19047619047619,0.571428571428571,0.428571428571429,0.571428571428571,0.714285714285714,0.0952380952380952,0.142857142857143,0.0476190476190476,2.85714285714286,3.33333333333333,2.42857142857143,1.71428571428571,1.38095238095238,0.238095238095238,0.0476190476190476,0.19047619047619,0,0,0.523809523809524,0.0476190476190476,0.952380952380952,0,-282.84271875,36.3673820495605,"Boreal"
"870",870,NA,NA,NA,-1.87179317754342,-0.319571874484836,14354.3478571429,3.5,2.28571428571429,2.78571428571429,1.5,1.21428571428571,6.82785714285714,4.41600621600622,3.43589743589744,2.7542735042735,1.88360528360528,1.51021756021756,47893.8907265516,0.75955452531275,1.20438758319299,1.05090228108783,0.650443635587991,0.578934223521839,2.35242323040414,2.56936224725321,1.08054983872652,0.85081126756806,0.145569487991466,0.988534161123415,0.272831493478744,0.0816060357569958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.175783072629549,0.244401528043278,1765471.73058744,3840866.37282567,0.85081126756806,0.145569487991466,0.988534161123415,0.272831493478744,0.0816060357569958,67.6923076923077,1572.34230769231,0.384615384615385,0,0.615384615384615,0,0.153846153846154,0.461538461538462,0.384615384615385,0.0769230769230769,0.692307692307692,0,0.230769230769231,7.18076923076923,0.153846153846154,0.153846153846154,0.692307692307692,0.615384615384615,0.384615384615385,0.153846153846154,0.230769230769231,0.615384615384615,0.307692307692308,0.692307692307692,0.846153846153846,0,0.153846153846154,0,2.69230769230769,3.53846153846154,2.38461538461538,1.53846153846154,1.23076923076923,0.153846153846154,0,0.230769230769231,0,0,0.615384615384615,0,1,0,NA,NA,NA
"967",967,-1e+05,10.1476736068726,18.4382457733154,-0.848309914343117,0.251033251389364,14891.5146153846,3.23076923076923,2.46153846153846,2.84615384615385,1.65384615384615,1.38461538461538,5.88269230769231,7.2969585969586,6.40775890775891,5.48046398046398,3.77429792429792,3.04052059052059,41214.3501456397,0.992277876713668,1.13950056536254,0.924870053242408,0.745241313525099,0.8038369524685,2.56086478782822,2.44444951100436,1.59104461836707,0.790266696763607,0.214069734935664,0.99119372388768,0.307077433663253,0.0961296830058856,-37.4310268283028,54.2952910934541,19.2769527165516,7660.56143775343,105.509569465246,-168.804060005111,274.313629470357,38.4912310883432,-64.8040600051109,6.28048605586999,-130.449365205205,1089.94405995782,140.705001024067,56.9595189054938,25.6863705296434,370.073670891456,192.896602975862,322.132223511669,257.208127742158,257.392150538474,356,8,26,0.295009163595444,0.226336411137739,1465471.73058744,3740866.37282567,0.790266696763607,0.214069734935664,0.99119372388768,0.307077433663253,0.0961296830058856,70.4,8266.3584,0.56,0.08,0.36,0.04,0.28,0.24,0.44,0.16,0.52,0.04,0.28,6.0284,0.16,0.12,0.72,0.36,0.64,0.28,0.16,0.56,0.48,0.52,0.68,0.08,0.2,0.04,2.8,3.24,2.52,1.68,1.4,0.28,0.08,0.2,0,0,0.44,0.08,0.92,0,-100,28.585919380188,"Boreal"
"968",968,-141421.359375,14.9212837219238,49.1875114440918,-0.811030804989511,0.0266286487405329,11432.6615384615,3.23076923076923,2.42307692307692,2.84615384615385,1.73076923076923,1.30769230769231,6.10807692307692,7.31893661893662,6.41874791874792,5.42002442002442,3.93913308913309,2.90315795315795,38331.6627465516,0.992277876713668,1.13747358380147,0.924870053242408,0.87442288660315,0.73589296880624,2.3642707446158,2.47133232401762,1.40408867658205,0.772085067825118,0.217045832475872,0.99062321593385,0.307958274412122,0.0963601485870876,-6.95302652301912,59,20,7861.83303422496,132.750021882525,-151.451180247451,284.201202129976,72.8979494252793,-34.4522767563985,9.43997957008474,-104.804002471318,850.308344742057,126.701548872303,33.8494764150572,38.5007497666206,326.452276756399,118.697453296873,264.44968071421,170.704838399146,364.672208296811,356,8,26,0.289756045939291,0.226358074597977,1565471.73058744,3740866.37282567,0.772085067825118,0.217045832475872,0.99062321593385,0.307958274412122,0.0963601485870876,70,4669.1512,0.6,0.04,0.36,0.04,0.24,0.24,0.48,0.16,0.48,0.04,0.32,6.2628,0.2,0.12,0.68,0.36,0.64,0.32,0.16,0.52,0.52,0.48,0.68,0.08,0.2,0.04,2.8,3.24,2.48,1.76,1.32,0.24,0.08,0.24,0,0,0.44,0.08,0.92,0,-141.421359375,64.1087951660156,"Boreal"
"969",969,NA,NA,NA,-1.21157854194679,0.140929659105212,13488.415,3.31818181818182,2.36363636363636,2.90909090909091,1.68181818181818,1.36363636363636,6.18636363636364,6.36838716838717,5.47918747918748,4.39713064713065,3.23858363858364,2.51671106671107,41477.7702961242,0.945483682534709,1.176979772673,0.971454035826165,0.779887881829887,0.789542033951723,2.48252856014751,2.47175406741424,1.4540263135462,0.836974003665361,0.212681654643676,0.989945389525796,0.301301316644028,0.0934280477527957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0.246287838388768,0.207640202166773,1665471.73058744,3740866.37282567,0.836974003665361,0.212681654643676,0.989945389525796,0.301301316644028,0.0934280477527957,70.9523809523809,5534.51,0.523809523809524,0.0476190476190476,0.428571428571429,0,0.285714285714286,0.285714285714286,0.428571428571429,0.142857142857143,0.571428571428571,0,0.285714285714286,6.37428571428571,0.142857142857143,0.142857142857143,0.714285714285714,0.428571428571429,0.571428571428571,0.238095238095238,0.19047619047619,0.571428571428571,0.428571428571429,0.571428571428571,0.714285714285714,0.0952380952380952,0.142857142857143,0.0476190476190476,2.85714285714286,3.33333333333333,2.42857142857143,1.71428571428571,1.38095238095238,0.238095238095238,0.0476190476190476,0.19047619047619,0,0,0.523809523809524,0.0476190476190476,0.952380952380952,0,NA,NA,NA
"981",981,NA,14.5231161117554,37.6455192565918,-1.35651348585128,-0.135979771668152,9176.44208333333,3.04166666666667,2.08333333333333,2.54166666666667,1.33333333333333,1.25,6.4225,7.20462037962038,5.87869352869353,4.82814407814408,3.13320845820846,2.95533355533356,36633.630093842,1.08263634211833,1.13890361720181,0.977092700273386,0.56465970257328,0.737209780774486,2.63886545120535,2.55708361105897,1.40817939627231,0.810474524921904,0.176737362142211,0.991703901110119,0.291170742117955,0.0880283739406687,32.2352911460541,64,18,9869.37299918754,200.080790227384,-147.266845132472,347.347635359856,125.316081373438,-91.7647088539459,15.4080790227384,-99.7647088539459,813.58292650591,105.656637197195,34.5021362785256,34,300.313274394391,118.84549908133,292.656637197195,147.686725605609,541.640208660845,NA,NA,24,0.267215462629691,0.228761758916204,2865471.73058744,3740866.37282567,0.810474524921904,0.176737362142211,0.991703901110119,0.291170742117955,0.0880283739406687,62.5310769934076,1726.70391304348,0.478260869565217,0.0434782608695652,0.478260869565217,0.0869565217391304,0.0869565217391304,0.391304347826087,0.434782608695652,0.130434782608696,0.521739130434783,0.0434782608695652,0.304347826086957,6.60434782608696,0.0434782608695652,0.173913043478261,0.782608695652174,0.478260869565217,0.521739130434783,0.130434782608696,0.217391304347826,0.652173913043478,0.434782608695652,0.565217391304348,0.826086956521739,0.0434782608695652,0.130434782608696,0,2.47826086956522,3.04347826086956,2.1304347826087,1.34782608695652,1.26086956521739,0.260869565217391,0.0869565217391304,0.130434782608696,0,0,0.521739130434783,0.0434782608695652,0.91304347826087,0.0434782608695652,NA,52.1686353683472,NA
"1041",1041,141421.359375,2.75150108337402,10.6356935501099,-0.877468820659132,0.419461308138705,19062.86625,3.1875,2.75,2.875,1.625,1.5,6.16125,4.34817404817405,3.88119658119658,3.66367521367521,2.14118104118104,1.96577311577312,48107.5116640329,0.910585891976516,1.18321595661992,0.885061203156784,0.61913918736689,0.894427190999916,2.82377259471556,2.31952365955663,1.66111936127605,0.857086679955382,0.204683870387394,0.98778518016178,0.305444683480943,0.0945186750475404,34.5220996762022,51.4147500539483,27.4147500539483,4766.60988085815,132.93684973015,-50.4779003237978,183.414750053948,47.5220996762022,-10.0631502698496,9.9,-20.4147500539483,953.126300539699,112.470969620493,50,28,334.470969620494,168.06315026985,275.534119890343,188.06315026985,398.737772757744,71,5,16,0.235557086234599,0.316745969158754,-1134528.26941256,3640866.37282567,0.857086679955382,0.204683870387394,0.98778518016178,0.305444683480943,0.0945186750475404,74.6666666666667,8299.02933333333,0.6,0.0666666666666667,0.333333333333333,0,0.266666666666667,0.333333333333333,0.4,0.2,0.533333333333333,0.0666666666666667,0.2,6.42266666666667,0.2,0.2,0.6,0.466666666666667,0.533333333333333,0.266666666666667,0.133333333333333,0.6,0.466666666666667,0.533333333333333,0.733333333333333,0.0666666666666667,0.2,0,2.8,3.2,2.86666666666667,1.66666666666667,1.53333333333333,0.333333333333333,0,0.266666666666667,0,0,0.4,0,0.933333333333333,0.0666666666666667,141.421359375,13.3871946334839,"Tundra"
"1065",1065,1e+05,17.4742641448975,23.4384689331055,-1.03205537666865,0.164102921437016,11509.9865384615,3.19230769230769,2.34615384615385,2.84615384615385,1.73076923076923,1.34615384615385,6.20769230769231,7.30734820734821,6.43243423243423,5.27894882894883,3.98793428793429,2.99333444333444,38309.9660286376,1.0205579167977,1.09333646028321,0.967152839723182,0.87442288660315,0.745241313525099,2.38272500753622,2.46172812548886,1.3470880431001,0.826873540295612,0.212681654643676,0.991605141058779,0.306483891111204,0.0958415383505096,-24.2202374752775,70.5126456377734,22,8838.50504306992,138.399854654904,-181.245528750824,319.645383405728,55.8872090171302,5.88720901713022,8.75020002949374,-134.732883113051,869.101086663698,97.8000726725482,45.5389174511666,20.9178447831391,266.872606722507,156.395854065029,222.221218013124,234.723218308061,291.581631971057,355,8,26,0.28055863381345,0.214808287014168,1265471.73058744,3640866.37282567,0.826873540295612,0.212681654643676,0.991605141058779,0.306483891111204,0.0958415383505096,71.6,4749.5692,0.56,0.04,0.4,0.04,0.28,0.24,0.44,0.16,0.52,0.04,0.28,6.3664,0.16,0.16,0.68,0.4,0.6,0.24,0.16,0.6,0.48,0.52,0.72,0.12,0.12,0.04,2.8,3.2,2.4,1.76,1.36,0.2,0.08,0.24,0,0,0.48,0.08,0.92,0,100,40.9127330780029,"Tundra"
