,Species,Synonyms,DietOver30pcPlantOther,Arctic,Ommited from ArcticMS
1,Aix galericulata,,FALSE,FALSE,
2,Aix sponsa,,TRUE,FALSE,
3,Alces alces,,TRUE,TRUE,
4,Alces americanus,,TRUE,TRUE,
5,Alectoris chukar,,TRUE,FALSE,
6,Allactaga major,,FALSE,FALSE,
7,Allactaga sibirica,,FALSE,FALSE,
8,Allocricetulus eversmanni,,FALSE,FALSE,
9,Alticola lemminus,,TRUE,TRUE,
10,Alticola macrotis,,TRUE,FALSE,
11,Alticola olchonensis,,TRUE,FALSE,
12,Alticola semicanus,,TRUE,FALSE,
13,Alticola tuvinicus,,TRUE,FALSE,
14,Anas acuta,,TRUE,FALSE,
15,Anas crecca,,TRUE,FALSE,
16,Anas platyrhynchos,,FALSE,FALSE,
17,Anas rubripes,,FALSE,FALSE,
18,Anas zonorhyncha,,TRUE,FALSE,
19,Anser albifrons,,TRUE,TRUE,
20,Anser anser,,TRUE,TRUE,
21,Anser brachyrhynchus,,TRUE,TRUE,
22,Anser caerulescens,Chen caerulescens,TRUE,TRUE,
23,Anser canagicus,Chen canagicus,TRUE,TRUE,
24,Anser cygnoid,,TRUE,FALSE,
25,Anser erythropus,,TRUE,TRUE,
26,Anser fabalis,,TRUE,TRUE,
27,Anser rossii,Chen rossii,TRUE,TRUE,
28,Apodemus agrarius,,TRUE,FALSE,
29,Apodemus flavicollis,,TRUE,FALSE,
30,Apodemus peninsulae,,TRUE,FALSE,
31,Apodemus sylvaticus,,TRUE,TRUE,
32,Apodemus uralensis,,TRUE,FALSE,
33,Arvicola amphibius,,TRUE,TRUE,
34,Aythya affinis,,TRUE,FALSE,
35,Aythya americana,,TRUE,FALSE,
36,Aythya baeri,,TRUE,FALSE,
37,Aythya collaris,,TRUE,FALSE,
38,Aythya ferina,,TRUE,FALSE,
39,Aythya fuligula,,FALSE,FALSE,
40,Aythya marila,,FALSE,FALSE,
41,Aythya nyroca,,TRUE,FALSE,
42,Aythya valisineria,,TRUE,FALSE,
43,Bison bison,,TRUE,TRUE,
44,Bonasa bonasia,,TRUE,FALSE,
45,Bonasa umbellus,,TRUE,FALSE,
46,Branta bernicla,,TRUE,TRUE,
47,Branta canadensis,,TRUE,TRUE,
48,Branta hutchinsii,,TRUE,TRUE,
